code,name,manufacturer,tier,group,slug
1001,"Агiл 100 KE","Адама",original,"Гербіцид",ahil-100-ke-adama
1002,"Бельведер Форте КС","Адама",original,"Гербіцид",belveder-forte-ks-adama
1003,"Відблок Плюс МЕ","Адама",original,"Гербіцид",vidblok-plyus-me-adama
1004,"Галiган КЕ","Адама",original,"Гербіцид",halihan-ke-adama
1005,"Глiфоган РК","Адама",original,"Гербіцид",hlifohan-rk-adama
1006,"Голтiкс Голд МС","Адама",original,"Гербіцид",holtiks-hold-ms-adama
1007,"Голтiкс Тітан КС","Адама",original,"Гербіцид",holtiks-titan-ks-adama
1008,"Евентус МЕ","Адама",original,"Гербіцид",eventus-me-adama
1009,"Ерроу КЕ","Адама",original,"Гербіцид",errou-ke-adama
1010,"Калiф КС","Адама",original,"Гербіцид",kalif-ks-adama
1011,"Калiф Мега ФК","Адама",original,"Гербіцид",kalif-meha-fk-adama
1012,"Легато Тріо КС","Адама",original,"Гербіцид",lehato-trio-ks-adama
1013,"Мiстраль ВГ","Адама",original,"Гербіцид",mistral-vh-adama
1014,"Нiкоган МД","Адама",original,"Гербіцид",nikohan-md-adama
1015,"Пауертвiн КС","Адама",original,"Гербіцид",pauertvin-ks-adama
1016,"Пендiган KC","Адама",original,"Гербіцид",pendihan-kc-adama
1017,"Прометрекс  50 SC","Адама",original,"Гербіцид",prometreks-50-sc-adama
1018,"Рейсер КЕ","Адама",original,"Гербіцид",reiser-ke-adama
1019,"Скудеро 6-25-25 РК","Адама",original,"Гербіцид",skudero-6-25-25-rk-adama
1020,"Скудеро Борон РК","Адама",original,"Гербіцид",skudero-boron-rk-adama
1021,"Скудеро Мульті РК","Адама",original,"Гербіцид",skudero-multi-rk-adama
1022,"Скудеро САВ РК","Адама",original,"Гербіцид",skudero-sav-rk-adama
1023,"Скудеро ZN+PK","Адама",original,"Гербіцид",skudero-zn-pk-adama
1024,"Султан КС","Адама",original,"Гербіцид",sultan-ks-adama
1025,"Султан Твiн КС","Адама",original,"Гербіцид",sultan-tvin-ks-adama
1026,"Томiган KE","Адама",original,"Гербіцид",tomihan-ke-adama
1027,"Триггер ВГ","Адама",original,"Гербіцид",tryhher-vh-adama
1028,"Трифлурекс КЕ","Адама",original,"Гербіцид",tryflureks-ke-adama
1029,"Аденго 465 КС","Байер",original,"Гербіцид",adenho-465-ks-baier
1030,"Атлантіс стар","Байер",original,"Гербіцид",atlantis-star-baier
1031,"Бекано 500SC KC","Байер",original,"Гербіцид",bekano-500sc-kc-baier
1032,"Бетанал Експерт 274 ЕС, КЕ","Байер",original,"Гербіцид",betanal-ekspert-274-es-ke-baier
1033,"Бетанал Макс Про 209 OD, МД","Байер",original,"Гербіцид",betanal-maks-pro-209-od-md-baier
1034,"Гродiл Максi 375 OD, МД","Байер",original,"Гербіцид",hrodil-maksi-375-od-md-baier
1035,"Зенкор Лiквiд 600 SC, КС","Байер",original,"Гербіцид",zenkor-likvid-600-sc-ks-baier
1036,"Лаудіс 30 WG, ВГ","Байер",original,"Гербіцид",laudis-30-wg-vh-baier
1037,"МайсТер Пауер OD, МД","Байер",original,"Гербіцид",maister-pauer-od-md-baier
1038,"Мерлiн 750WG, ВГ","Байер",original,"Гербіцид",merlin-750wg-vh-baier
1039,"Мерлiн Флекс Дуо","Байер",original,"Гербіцид",merlin-fleks-duo-baier
1040,"Мушкет Універсал 460OD","Байер",original,"Гербіцид",mushket-universal-460od-baier
1041,"Пума Супер EW, ЕВ","Байер",original,"Гербіцид",puma-super-ew-ev-baier
1042,"Челендж 600 SC, КС","Байер",original,"Гербіцид",chelendzh-600-sc-ks-baier
1043,"Базагран","Басф",original,"Гербіцид",bazahran-basf
1044,"Базагран ПРО","Басф",original,"Гербіцид",bazahran-pro-basf
1045,"Баста 150 SL","Басф",original,"Гербіцид",basta-150-sl-basf
1046,"Бутізан Стар","Басф",original,"Гербіцид",butizan-star-basf
1047,"Бутiзан 400 д.в","Басф",original,"Гербіцид",butizan-400-d-v-basf
1048,"Бутiзан АВАНТ, СЕ","Басф",original,"Гербіцид",butizan-avant-se-basf
1049,"Ервін ПРО","Басф",original,"Гербіцид",ervin-pro-basf
1050,"Євро-лайтнiнг ПЛЮС, РК","Басф",original,"Гербіцид",yevro-laitninh-plyus-rk-basf
