Код,Дія,Лист,Виробник,Назва (прайс),Фасовка,Діюча речовина,Норма,Категорія slug,Категорія UA,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Slug (наш),Назва (наша),Фасовка (наша),Tier,№ рядка
1117,existing,"Нертус","Нертус","Аргумент, РК","20 л","ізопропіламінна сіль гліфосату у кислотному еквіваленті, 360 г/л","",herbitsydy,"Гербіцид",4.11,3.43,3.77,USD,"arhument-rk-nertus","Аргумент, РК","20 л",econom,5
1118,existing,"Нертус","Нертус","Герб 900, КЕ","20 л","ацетохлор, 900 г/л","",herbitsydy,"Гербіцид",6.12,5.1,5.61,USD,"herb-900-ke-nertus","Герб 900, КЕ","20 л",econom,11
1119,existing,"Нертус","Нертус","Каре, ЗП","пакет 0,6 кг","трифлусульфурон-метил, 500 г/кг","",herbitsydy,"Гербіцид",77.37,64.48,70.93,USD,"kare-zp-nertus","Каре, ЗП","пакет 0,6 кг",econom,21
1120,existing,"Нертус","Нертус","Майтус, РГ","банка 0,25, 0,3, 0,5 кг","римсульфурон, 250 г/кг","",herbitsydy,"Гербіцид",79.01,65.84,72.42,USD,"maitus-rh-nertus","Майтус, РГ","банка 0,25, 0,3, 0,5 кг",econom,25
1121,existing,"Нертус","Нертус","Мілафурон, КС","5 л","нікосульфурон, 40 г/л","",herbitsydy,"Гербіцид",9.32,7.76,8.54,USD,"milafuron-ks-nertus","Мілафурон, КС","5 л",econom,27
1122,existing,"Нертус","Нертус","Мілафурон, КС КИТАЙ","5 л","нікосульфурон, 40 г/л","",herbitsydy,"Гербіцид",6.3,5.25,5.78,USD,"milafuron-ks-kytai-nertus","Мілафурон, КС КИТАЙ","5 л",econom,28
1123,existing,"Нертус","Нертус","Преміум Голд, КС","20 л","С-метолахлор, 312,5 г/л; тербутилазин, 187,5 г/л","",herbitsydy,"Гербіцид",6.05,5.04,5.54,USD,"premium-hold-ks-nertus","Преміум Голд, КС","20 л",econom,30
1124,existing,"Нертус","Нертус","Сентинел КЕ","5 л","пропізохлор, 576 г/л; метрибузин, 60 г/л","",herbitsydy,"Гербіцид",12.92,10.76,11.84,USD,"sentynel-ke-nertus","Сентинел КЕ","5 л",econom,33
1125,existing,"Нертус","Нертус","Терц, РК","20 л","пропізохлор, 720 г/л","",herbitsydy,"Гербіцид",5.7,4.75,5.23,USD,"terts-rk-nertus","Терц, РК","20 л",econom,39
1126,existing,"Нертус","Нертус","Фоліо, КЕ","5 л","пропізохлор, 580 г/л; флурохлорідон, 200 г/л","",herbitsydy,"Гербіцид",26.76,22.3,24.53,USD,"folio-ke-nertus","Фоліо, КЕ","5 л",econom,41
1127,existing,"Нопосон","Нопосон","АВАТАР","20 л","Ацетохлор, 900г/л","1,5-3 л/га",herbitsydy,"Гербіцид",5.68,4.74,5.21,USD,"avatar-noposon","АВАТАР","20 л",econom,4
1128,existing,"Нопосон","Нопосон","БЕЛЕНУС","20 л","Пропізохлор, 720 г/л","2,0-3,0 л/га",herbitsydy,"Гербіцид",5.71,4.76,5.24,USD,"belenus-noposon","БЕЛЕНУС","20 л",econom,13
1129,existing,"Нопосон","Нопосон","ГЕФЕСТ","20 л","Гліфосат, 480 г/л","2-6 л/га",herbitsydy,"Гербіцид",3.47,2.89,3.18,USD,"hefest-noposon","ГЕФЕСТ","20 л",econom,5
1130,existing,"Нопосон","Нопосон","ГЕФЕСТ ПРО","20 л","Калійна сіль гліфосату 614 г/л
 (у кислотному еквіваленті 500 г/л)","1,5-4,0л/га",herbitsydy,"Гербіцид",5.02,4.18,4.6,USD,"hefest-pro-noposon","ГЕФЕСТ ПРО","20 л",econom,8
1131,existing,"Нопосон","Нопосон","ЗАГРЕЙ","20 л","S-метолахлор 312,5 г/л + тербутилазин 187,5 г/л","3-4,5 л/га",herbitsydy,"Гербіцид",5.76,4.8,5.28,USD,"zahrei-noposon","ЗАГРЕЙ","20 л",econom,9
1132,existing,"Нопосон","Нопосон","САТІС","5 л","2,4-Д2-етилгексиловий ефір, 452 г/л+флорасулам, 6,25 г/л","0,4-0,6 л/га",herbitsydy,"Гербіцид",5.17,4.31,4.74,USD,"satis-noposon","САТІС","5 л",econom,14
1133,existing,"Нопосон","Нопосон","ТІТОН","5 л","Нікосульфурон, 80 г/л","0,62-0,82 л/га",herbitsydy,"Гербіцид",8.86,7.38,8.12,USD,"titon-noposon","ТІТОН","5 л",econom,11
1134,existing,"Нопосон","Нопосон","ТІТОН ДУО","20 л","Нікосульфурон, 30 г/л +мезотріон, 75 г/л","1,25-2,0 л/га",herbitsydy,"Гербіцид",9.59,8,8.8,USD,"titon-duo-noposon","ТІТОН ДУО","20 л",econom,12
1135,existing,"Нопосон","Нопосон","ТОРЛАЙТІНГ","10 л","Імазапір,15г/л+імазамокс,33г/л","1,0-1,2л/г",herbitsydy,"Гербіцид",9.45,7.87,8.66,USD,"torlayting-noposon","ТОРЛАЙТІНГ","10 л",econom,15
1136,existing,"Нопосон","Нопосон","ХЕПІ СТАР","0.5 кг","Трибенуронметил, 750 г/кг","15-25 г/га",herbitsydy,"Гербіцид",26.57,22.14,24.35,USD,"hepi-star-noposon","ХЕПІ СТАР","0,5 кг",econom,3
1249,existing,"Укравіт","Укравіт","Агент, СЕ","5 л","2,4-Д 2-етилгексиловий ефір, 452 г/л + флорасулам, 6,25 г/л","",herbitsydy,"Гербіцид",7.25,6.04,6.64,USD,"ahent-se-ukravit","Агент, СЕ","5 л",premium,4
1250,existing,"Укравіт","Укравіт","Агростар, РК","20 л","МЦПА у формі амінної солі, 500 г/л","",herbitsydy,"Гербіцид",9.32,7.76,8.54,USD,"ahrostar-rk-ukravit","Агростар, РК","20 л",premium,5
1251,existing,"Укравіт","Укравіт","Варяг Тріо, СЕ","20 л","Метолахлор, 380 г/л + тербутилазин, 130 г/л + мезотріон, 38 г/л","",herbitsydy,"Гербіцид",9.2,7.67,8.44,USD,"varyah-trio-se-ukravit","Варяг Тріо, СЕ","20 л",premium,10
1252,existing,"Укравіт","Укравіт","Варяг, КЕ","20 л","Метолахлор, 315 г/л + тербутилазин, 190 г/л","",herbitsydy,"Гербіцид",7.48,6.23,6.85,USD,"varyah-ke-ukravit","Варяг, КЕ","20 л",premium,9
1253,existing,"Укравіт","Укравіт","Вейрон КС","1 л","Флуметсулам, 120 г/л + Флорасулам, 80 г/л","",herbitsydy,"Гербіцид",80.5,67.08,73.79,USD,"veiron-ks-ukravit","Вейрон КС","1 л",premium,11
1254,existing,"Укравіт","Укравіт","Віталон Експерт, КЕ","5 л","Десмедифам, 71 г/л + фенмедифам, 91 г/л + етофумезат, 112 г/л","",herbitsydy,"Гербіцид",16.9,14.09,15.5,USD,"vitalon-ekspert-ke-ukravit","Віталон Експерт, КЕ","5 л",premium,12
1255,existing,"Укравіт","Укравіт","Галант,РК","20 л","Глюфосинат амонію, 150 г/л","",herbitsydy,"Гербіцид",4.6,3.83,4.21,USD,"halant-rk-ukravit","Галант,РК","20 л",premium,16
1257,existing,"Укравіт","Укравіт","Гліфовіт, РК","1000(куб)","Ізопропіламінна сіль гліфосату, 480 г/л","",herbitsydy,"Гербіцид",4.43,3.69,4.06,USD,"hlifovit-rk-ukravit","Гліфовіт, РК","1000(куб)",premium,18
1258,existing,"Укравіт","Укравіт","Голд Стар, ВГ","0.05 л","Трибенурон-метил, 750 г/кг","",herbitsydy,"Гербіцид",34.5,28.75,31.63,USD,"hold-star-vh-ukravit","Голд Стар, ВГ","0.05 л",premium,22
1259,existing,"Укравіт","Укравіт","Голдікс, КС","5 л","Метамітрон, 700 г/л","",herbitsydy,"Гербіцид",34.5,28.75,31.63,USD,"holdiks-ks-ukravit","Голдікс, КС","5 л",premium,24
