Код,Дія,Назва (прайс),Виробник (прайс),Фасовка прайс,Норм. фасовка,Категорія прайс,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Назва (наша),Фасовка (наша),Tier,Категорія наша,Slug,№ рядка прайсу
1001,existing,"Агiл 100 KE","Адама","4*5л","5 л","Гербiциди",21.46,17.88,19.67,USD,"Агiл 100 KE","5 л",original,"Гербіцид","ahil-100-ke-adama",18
1002,existing,"Бельведер Форте КС","Адама","4*5л","5 л","Гербiциди",22.36,18.63,20.49,USD,"Бельведер Форте КС","5 л",original,"Гербіцид","belveder-forte-ks-adama",20
1003,existing,"Відблок Плюс МЕ","Адама","2*10л","10 л","Гербiциди",16.01,13.34,14.67,USD,"Відблок Плюс МЕ","10 л",original,"Гербіцид","vidblok-plyus-me-adama",21
1004,existing,"Галiган КЕ","Адама","12*1л","1 л","Гербiциди",31.28,26.07,28.68,USD,"Галiган КЕ","1 л",original,"Гербіцид","halihan-ke-adama",22
1005,existing,"Глiфоган РК","Адама","1*20л","20 л","Гербiциди",6.4,5.34,5.87,USD,"Глiфоган РК","20 л",original,"Гербіцид","hlifohan-rk-adama",23
1006,existing,"Голтiкс Голд МС","Адама","4*5л","5 л","Гербiциди",23.13,19.27,21.2,USD,"Голтiкс Голд МС","5 л",original,"Гербіцид","holtiks-hold-ms-adama",24
1007,existing,"Голтiкс Тітан КС","Адама","2*10л","10 л","Гербiциди",24.66,20.55,22.61,USD,"Голтiкс Тітан КС","10 л",original,"Гербіцид","holtiks-titan-ks-adama",25
1008,existing,"Евентус МЕ","Адама","2*10л","10 л","Гербiциди",28.32,23.6,25.96,USD,"Евентус МЕ","10 л",original,"Гербіцид","eventus-me-adama",26
1009,existing,"Ерроу КЕ","Адама","4*5л","5 л","Гербiциди",18.02,15.02,16.52,USD,"Ерроу КЕ","5 л",original,"Гербіцид","errou-ke-adama",27
1010,existing,"Калiф КС","Адама","4*5л","5 л","Гербiциди",33.92,28.27,31.1,USD,"Калiф КС","5 л",original,"Гербіцид","kalif-ks-adama",28
1011,existing,"Калiф Мега ФК","Адама","2*10л","10 л","Гербiциди",22.34,18.62,20.48,USD,"Калiф Мега ФК","10 л",original,"Гербіцид","kalif-meha-fk-adama",29
1012,existing,"Легато Тріо КС","Адама","10л","10 л","Гербiциди",19.18,15.99,17.59,USD,"Легато Тріо КС","10 л",original,"Гербіцид","lehato-trio-ks-adama",30
1013,existing,"Мiстраль ВГ","Адама","12*1кг","1 кг","Гербiциди",30.4,25.33,27.86,USD,"Мiстраль ВГ","1 кг",original,"Гербіцид","mistral-vh-adama",31
1014,existing,"Нiкоган МД","Адама","4*5л","5 л","Гербiциди",15.39,12.82,14.1,USD,"Нiкоган МД","5 л",original,"Гербіцид","nikohan-md-adama",33
1015,existing,"Пауертвiн КС","Адама","4*5л","5 л","Гербiциди",22.66,18.88,20.77,USD,"Пауертвiн КС","5 л",original,"Гербіцид","pauertvin-ks-adama",34
1016,existing,"Пендiган KC","Адама","12*1л","1 л","Гербiциди",12.67,10.56,11.62,USD,"Пендiган KC","1 л",original,"Гербіцид","pendihan-kc-adama",35
1017,existing,"Прометрекс  50 SC","Адама","4*5л","5 л","Гербiциди",10.13,8.44,9.28,USD,"Прометрекс  50 SC","5 л",original,"Гербіцид","prometreks-50-sc-adama",37
1018,existing,"Рейсер КЕ","Адама","4*5л","5 л","Гербiциди",18.63,15.53,17.08,USD,"Рейсер КЕ","5 л",original,"Гербіцид","reiser-ke-adama",38
1019,existing,"Скудеро 6-25-25 РК","Адама","10л","10 л","Мікродобрива",7.11,5.92,6.51,USD,"Скудеро 6-25-25 РК","10 л",original,"Гербіцид","skudero-6-25-25-rk-adama",45
1020,existing,"Скудеро Борон РК","Адама","10л","10 л","Мікродобрива",5.73,4.77,5.25,USD,"Скудеро Борон РК","10 л",original,"Гербіцид","skudero-boron-rk-adama",47
1021,existing,"Скудеро Мульті РК","Адама","10л","10 л","Мікродобрива",6.11,5.09,5.6,USD,"Скудеро Мульті РК","10 л",original,"Гербіцид","skudero-multi-rk-adama",48
1022,existing,"Скудеро САВ РК","Адама","10л","10 л","Мікродобрива",5.66,4.71,5.18,USD,"Скудеро САВ РК","10 л",original,"Гербіцид","skudero-sav-rk-adama",49
1023,existing,"Скудеро ZN+PK","Адама","10л","10 л","Мікродобрива",7.87,6.56,7.22,USD,"Скудеро ZN+PK","10 л",original,"Гербіцид","skudero-zn-pk-adama",46
1024,existing,"Султан КС","Адама","12*1л","1 л","Гербiциди",25.36,21.14,23.25,USD,"Султан КС","1 л",original,"Гербіцид","sultan-ks-adama",39
1025,existing,"Султан Твiн КС","Адама","4*5л","5 л","Гербiциди",32.21,26.84,29.52,USD,"Султан Твiн КС","5 л",original,"Гербіцид","sultan-tvin-ks-adama",41
1026,existing,"Томiган KE","Адама","4*5л","5 л","Гербiциди",27.72,23.1,25.41,USD,"Томiган KE","5 л",original,"Гербіцид","tomihan-ke-adama",42
1027,existing,"Триггер ВГ","Адама","2*0,5кг","0.5 кг","Гербiциди",70.57,58.81,64.69,USD,"Триггер ВГ","0.5 кг",original,"Гербіцид","tryhher-vh-adama",43
1028,existing,"Трифлурекс КЕ","Адама","4*5л","5 л","Гербiциди",9.94,8.28,9.11,USD,"Трифлурекс КЕ","5 л",original,"Гербіцид","tryflureks-ke-adama",44
1029,existing,"Аденго 465 КС","Байер","4*5л","5 л","Гербiциди",153.23,127.69,140.46,USD,"Аденго 465 КС","5 л",original,"Гербіцид","adenho-465-ks-baier",476
1030,existing,"Атлантіс стар","Байер","3кг","3 кг","Гербiциди",111.04,92.53,101.78,USD,"Атлантіс стар","3 кг",original,"Гербіцид","atlantis-star-baier",475
1031,existing,"Бекано 500SC KC","Байер","0,5л","0.5 л","Гербiциди",277.4,231.17,254.29,USD,"Бекано 500SC KC","0.5 л",original,"Гербіцид","bekano-500sc-kc-baier",479
1032,existing,"Бетанал Експерт 274 ЕС, КЕ","Байер","4*5л","5 л","Гербiциди",32.16,26.8,29.48,USD,"Бетанал Експерт 274 ЕС, КЕ","5 л",original,"Гербіцид","betanal-ekspert-274-es-ke-baier",477
1033,existing,"Бетанал Макс Про 209 OD, МД","Байер","4*5л","5 л","Гербiциди",26.54,22.12,24.33,USD,"Бетанал Макс Про 209 OD, МД","5 л",original,"Гербіцид","betanal-maks-pro-209-od-md-baier",478
1034,existing,"Гродiл Максi 375 OD, МД","Байер","12*1л","1 л","Гербiциди",121.19,100.99,111.09,USD,"Гродiл Максi 375 OD, МД","1 л",original,"Гербіцид","hrodil-maksi-375-od-md-baier",480
1035,existing,"Зенкор Лiквiд 600 SC, КС","Байер","4*5л","5 л","Гербiциди",49,40.84,44.92,USD,"Зенкор Лiквiд 600 SC, КС","5 л",original,"Гербіцид","zenkor-likvid-600-sc-ks-baier",481
1036,existing,"Лаудіс 30 WG, ВГ","Байер","4*3кг","3 кг","Гербiциди",95.14,79.28,87.21,USD,"Лаудіс 30 WG, ВГ","3 кг",original,"Гербіцид","laudis-30-wg-vh-baier",482
1037,existing,"МайсТер Пауер OD, МД","Байер","4*5л","5 л","Гербiциди",40.88,34.07,37.48,USD,"МайсТер Пауер OD, МД","5 л",original,"Гербіцид","maister-pauer-od-md-baier",483
1038,existing,"Мерлiн 750WG, ВГ","Байер","6*0,5кг","0.5 кг","Гербiциди",299.88,249.9,274.89,USD,"Мерлiн 750WG, ВГ","0.5 кг",original,"Гербіцид","merlin-750wg-vh-baier",485
1039,existing,"Мерлiн Флекс Дуо","Байер","6*0,5кг","0.5 кг","Гербiциди",38.85,32.38,35.62,USD,"Мерлiн Флекс Дуо","0.5 кг",original,"Гербіцид","merlin-fleks-duo-baier",486
1040,existing,"Мушкет Універсал 460OD","Байер","4*5л","5 л","Гербiциди",24.98,20.82,22.9,USD,"Мушкет Універсал 460OD","5 л",original,"Гербіцид","mushket-universal-460od-baier",490
1041,existing,"Пума Супер EW, ЕВ","Байер","2*10л","10 л","Гербiциди",34.78,28.98,31.88,USD,"Пума Супер EW, ЕВ","10 л",original,"Гербіцид","puma-super-ew-ev-baier",496
1042,existing,"Челендж 600 SC, КС","Байер","4*5л","5 л","Гербiциди",25.34,21.12,23.23,USD,"Челендж 600 SC, КС","5 л",original,"Гербіцид","chelendzh-600-sc-ks-baier",524
1043,existing (fuzzy),"Базагран, в.р.","Басф","1*20л","20 л","Гербiциди",15.28,12.73,14,USD,"Базагран","20 л",original,"Гербіцид","bazahran-basf",86
1044,existing,"Базагран ПРО","Басф","2*10л","10 л","Гербiциди",17.63,14.69,16.16,USD,"Базагран ПРО","10 л",original,"Гербіцид","bazahran-pro-basf",87
